,zonas,enderecos,precos,areas,quartos
214,sul,"Rua Conselheiro Elias De Carvalho, 50, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",1700,60,2.0
215,sul,"Rua Cipriano Barata, 201, Ipiranga, São Paulo Zona Sul, São Paulo",1600,48,2.0
216,sul,"Rua Engenheiro Prudente, Vila Monumento, São Paulo Zona Sul, São Paulo",7100,145,3.0
217,sul,"Rua Costa Aguiar, Ipiranga, São Paulo Zona Sul, São Paulo",2884,200,3.0
218,sul,"Rua Joaquim Távora, Vila Mariana, São Paulo Zona Sul, São Paulo",3300,50,
219,sul,"Rua Agostinho Gomes, Ipiranga, São Paulo Zona Sul, São Paulo",2500,62,2.0
220,sul,"Rua Bueno De Andrade, Aclimação, São Paulo Zona Sul, São Paulo",2060,88,2.0
221,sul,"Rua Batataes, Jardim Paulista, São Paulo Zona Sul, São Paulo",3600,110,3.0
222,sul,"Avenida Doutor Cardoso De Melo, Vila Olímpia, São Paulo Zona Sul, São Paulo",4000,67,2.0
223,sul,"Rua Antônio Guarmerino, Jardim Celeste, São Paulo Zona Sul, São Paulo",1428,64,2.0
224,sul,"Avenida Damasceno Vieira, Vila Mascote, São Paulo Zona Sul, São Paulo",1800,70,2.0
225,sul,"Avenida Doutor Cardoso De Melo, Vila Olímpia, São Paulo Zona Sul, São Paulo",3500,60,2.0
226,sul,"Rua Guarará, Jardim Paulista, São Paulo Zona Sul, São Paulo",4000,45,
227,sul,"Avenida Damasceno Vieira, Vila Mascote, São Paulo Zona Sul, São Paulo",1800,70,2.0
228,sul,"Rua Inhambú, Vila Uberabinha, São Paulo Zona Sul, São Paulo",2703,62,2.0
229,sul,"Rua Indiana, Brooklin Paulista, São Paulo Zona Sul, São Paulo",500,28,
230,sul,"Rua Antônio Berna Clemente, Vila Brasilina, São Paulo Zona Sul, São Paulo",997,50,
231,sul,"Rua Luís Correia De Melo, Vila Cruzeiro, São Paulo Zona Sul, São Paulo",6000,65,
232,sul,"Rua Dois De Julho, Ipiranga, São Paulo Zona Sul, São Paulo",2000,45,
233,sul,"Rua Pereiras, Vila Moinho Velho, São Paulo Zona Sul, São Paulo",1200,40,
234,sul,"Rua Raul Romeu Loureiro, Planalto Paulista, São Paulo Zona Sul, São Paulo",3500,95,2.0
235,sul,"Rua Ática, Jardim Brasil (zona Sul), São Paulo Zona Sul, São Paulo",1860,26,
236,sul,"Avenida 11 De Junho, Vila Clementino, São Paulo Zona Sul, São Paulo",2266,65,2.0
237,sul,"Rua Luís De França Júnior, Vila Nova Caledônia, São Paulo Zona Sul, São Paulo",4080,500,4.0
238,sul,"Rua José Antônio Coelho, Vila Mariana, São Paulo Zona Sul, São Paulo",2650,72,2.0
239,sul,"Rua Tabor, Ipiranga, São Paulo Zona Sul, São Paulo",4080,134,4.0
240,oeste,"Rua Monte Caseros, 256, Vila Gomes, São Paulo Zona Oeste, São Paulo",4400,95,3.0
241,oeste,"Rua Ministro Luiz Gallotti, 74, Vila Cordeiro, São Paulo Zona Oeste, São Paulo",4500,77,2.0
242,oeste,"Rua Mário Whately, Alto Da Lapa, São Paulo Zona Oeste, São Paulo",1890,65,3.0
243,oeste,"Rua Bonifácio Veronese, Jardim Jaqueline, São Paulo Zona Oeste, São Paulo",892,45,
244,oeste,"Rua Floresto Bandecchi, Jaguaré, São Paulo Zona Oeste, São Paulo",1100,48,2.0
245,oeste,"Rua João Moura, Pinheiros, São Paulo Zona Oeste, São Paulo",2000,99,3.0
246,oeste,"Avenida Raimundo Pereira De Magalhães, Jardim Íris, São Paulo Zona Oeste, São Paulo",1450,47,2.0
247,oeste,"Avenida Ernesto Igel, Lapa, São Paulo Zona Oeste, São Paulo",2850,70,2.0
248,oeste,"Rua Xavier Kraus, Vila Leopoldina, São Paulo Zona Oeste, São Paulo",1743,35,2.0
249,oeste,"Avenida Corifeu De Azevedo Marques, Butantã, São Paulo Zona Oeste, São Paulo",1545,45,
250,oeste,"Rua Corcovado, Parque Residencial Da Lapa, São Paulo Zona Oeste, São Paulo",1600,76,2.0
251,oeste,"Avenida Imperatriz Leopoldina, Vila Leopoldina, São Paulo Zona Oeste, São Paulo",1450,60,
252,oeste,"José Galante, Vila Suzana, São Paulo Zona Oeste, São Paulo",2300,68,2.0
253,oeste,"Avenida Raimundo Pereira De Magalhães, Jardim Íris, São Paulo Zona Oeste, São Paulo",1000,44,2.0
254,oeste,"Avenida Raimundo Pereira De Magalhães, Jardim Íris, São Paulo Zona Oeste, São Paulo",1200,45,2.0
255,oeste,"Avenida Raimundo Pereira De Magalhães, Jardim Íris, São Paulo Zona Oeste, São Paulo",1900,52,
256,oeste,"Rua Campevas, Perdizes, São Paulo Zona Oeste, São Paulo",1680,40,
257,oeste,"Rua Eugênio De Medeiros, Pinheiros, São Paulo Zona Oeste, São Paulo",3400,64,2.0
